invoice_id,vendor_name,issue_date,due_date,amount,currency,status
AP6ca290df,Kelly Inc,2024-03-24,2024-04-23,18426.25,USD,Overdue
APb7a85d3a,"Ramirez, Gregory and Morgan",2023-12-23,2024-01-22,11205.6,USD,Paid
APc619ca61,Martin-Miller,2024-08-14,2024-09-13,17501.15,USD,Overdue
AP587aa7b1,Knapp-Woodard,2024-01-25,2024-02-24,2294.44,USD,Unpaid
AP163d8f38,"Bryant, Ferrell and Lambert",2024-03-31,2024-04-30,17058.75,USD,Unpaid
AP287e9bd8,Brooks Inc,2024-05-28,2024-06-27,15496.61,USD,Unpaid
AP99e6b8c9,Zimmerman-Tapia,2024-06-21,2024-07-21,18631.79,USD,Unpaid
AP510b7e02,Craig Group,2024-01-07,2024-02-06,2945.88,USD,Overdue
AP144f6cea,Anderson-Woods,2024-07-07,2024-08-06,7931.99,USD,Unpaid
APac3b70ac,Armstrong-Smith,2024-10-29,2024-11-28,14036.66,USD,Overdue
APfe8fa8d8,"Johnson, Robinson and Martin",2024-02-06,2024-03-07,5054.39,USD,Overdue
APc37f6170,Terrell-Chavez,2023-12-04,2024-01-03,1661.49,USD,Overdue
AP5379f209,"Wang, Conrad and Ruiz",2024-06-05,2024-07-05,9226.94,USD,Unpaid
AP35ae8f75,Adams-Valdez,2024-11-18,2024-12-18,8553.15,USD,Overdue
APce2e5b9f,Morgan-Lynch,2024-08-09,2024-09-08,11222.49,USD,Unpaid
AP1de951d6,"Garcia, Jackson and Powers",2024-09-04,2024-10-04,2690.14,USD,Paid
APb351ad04,"Williams, Washington and Castillo",2024-05-12,2024-06-11,7488.63,USD,Unpaid
AP9bba3b62,Hines Inc,2023-12-12,2024-01-11,1225.79,USD,Unpaid
APb14861ff,"Spears, Doyle and Reyes",2024-02-29,2024-03-30,1867.58,USD,Paid
AP33ac6f45,"Matthews, Nichols and Fry",2024-07-07,2024-08-06,15145.37,USD,Unpaid
AP4e94d10d,Humphrey-Holt,2024-09-30,2024-10-30,3959.21,USD,Paid
APd0149bd1,Ferguson-Haynes,2024-05-17,2024-06-16,6849.22,USD,Overdue
APd5750770,"Sexton, Barajas and Scott",2024-02-22,2024-03-23,19885.37,USD,Overdue
AP17106ed9,Jensen LLC,2024-10-13,2024-11-12,4323.78,USD,Paid
AP81a2ded7,Hernandez-Roman,2024-10-26,2024-11-25,13274.87,USD,Overdue
APcfdb7168,Stokes-Burns,2024-01-09,2024-02-08,1717.59,USD,Paid
APd74a06a4,Henderson-Clarke,2024-04-20,2024-05-20,14413.44,USD,Overdue
AP77604034,Kelly-Waller,2024-05-07,2024-06-06,2213.62,USD,Paid
APd9b05e97,"Green, Clark and Ellis",2024-02-21,2024-03-22,9035.13,USD,Unpaid
AP3be4d824,Stewart Group,2024-10-29,2024-11-28,16285.03,USD,Paid
AP20bcd87c,Harris-Coleman,2024-03-05,2024-04-04,14137.18,USD,Paid
AP2d99e12a,"Soto, Dennis and Schneider",2024-05-10,2024-06-09,17948.25,USD,Unpaid
AP4fa953b7,Wilson-Clark,2024-03-24,2024-04-23,15574.7,USD,Paid
AP36a8599a,Lewis Inc,2024-02-17,2024-03-18,19794.49,USD,Overdue
AP53a43a55,Young Ltd,2024-09-25,2024-10-25,12410.95,USD,Unpaid
AP91c61cb4,Walsh-Carter,2024-10-11,2024-11-10,3455.54,USD,Paid
AP97e825a6,Allen PLC,2024-06-08,2024-07-08,10622.83,USD,Paid
AP80536df7,Walton Group,2024-08-05,2024-09-04,8124.61,USD,Unpaid
AP47fb6d5b,"Jones, Parker and Ramos",2024-03-12,2024-04-11,3646.66,USD,Overdue
APbd2ecc58,Robertson PLC,2024-01-23,2024-02-22,16711.78,USD,Paid
AP476f25ab,"Abbott, Parks and Peterson",2024-01-21,2024-02-20,1160.16,USD,Paid
AP38354fa8,Ayala Group,2024-08-31,2024-09-30,14210.71,USD,Paid
AP86422ad4,Bell-Olson,2024-05-09,2024-06-08,9007.41,USD,Unpaid
APd3eadcf6,Wheeler and Sons,2024-03-11,2024-04-10,9716.18,USD,Paid
AP7f2e6bd2,Pearson-Hess,2024-06-07,2024-07-07,871.48,USD,Unpaid
AP0d7e8fc5,Cooper Group,2024-04-11,2024-05-11,3895.39,USD,Unpaid
AP3ae0eda6,"Williams, Snyder and Davidson",2024-05-18,2024-06-17,12888.04,USD,Paid
