campaign_id,campaign_name,start_date,end_date,budget
CMPcb6428e7,Whiteboard Cross-Media Channels Campaign,2024-12-01,2025-01-25,32455.52
CMP7470828f,Synthesize Cross-Platform E-Markets Campaign,2024-12-01,2025-02-12,18150.04
CMPe3acdfdb,Benchmark Transparent Methodologies Campaign,2024-12-01,2025-01-02,17707.28
CMP8e3e2802,Leverage Next-Generation E-Markets Campaign,2024-12-01,2025-01-10,13462.93
CMPef0b3041,Engineer Real-Time Supply-Chains Campaign,2024-12-01,2025-01-29,41712.0
CMP6c2fcb66,Architect Intuitive Web Services Campaign,2024-12-01,2025-01-07,40204.24
CMP963c8b70,Repurpose Seamless Deliverables Campaign,2024-12-01,2025-01-05,34594.0
CMPe49e04d4,Seize Synergistic Info-Mediaries Campaign,2024-12-01,2025-02-24,36061.37
CMPb1885ca6,Aggregate World-Class Content Campaign,2024-12-01,2025-02-16,18988.9
CMP3f3ad27c,Leverage Revolutionary Metrics Campaign,2024-12-01,2025-02-11,29463.46
CMPdb2838b1,Architect Real-Time E-Markets Campaign,2024-12-01,2025-01-16,38295.06
CMP4a85a120,Empower Enterprise Channels Campaign,2024-12-01,2025-01-10,18204.96
CMPd92e6bef,Incentivize Robust Metrics Campaign,2024-12-01,2025-02-10,11873.81
CMPae3c6bfa,Cultivate Magnetic Partnerships Campaign,2024-12-01,2025-02-04,21412.63
CMPc221f616,Grow Strategic Infrastructures Campaign,2024-12-01,2025-01-07,15338.29
CMP65dd60bc,Re-Intermediate Cross-Platform Initiatives Campaign,2024-12-01,2025-02-25,26077.63
CMP3e0c7c6f,Embrace Impactful Functionalities Campaign,2024-12-01,2025-01-03,36093.82
CMPc0cc7127,Synergize Turn-Key Schemas Campaign,2024-12-01,2025-02-15,19757.5
CMPd583085e,Evolve Bricks-And-Clicks E-Services Campaign,2024-12-01,2025-01-31,10592.43
CMP6445eab0,Extend Vertical Users Campaign,2024-12-01,2025-01-31,31690.69
