opportunity_id,sales_rep_id,client_name,stage,amount,close_date,renewal_date,email_conversations
OPP5d587077-68fe-4666-afb5-545cd95cd1ae,EMPc3f4c170,"Garcia, Miller and Owen",Legal,94981.36,2025-03-30T13:51:17.213295,2025-11-30T13:51:17.213295,Email thread with Alan Lara on 2024-11-29
OPP7ae1a24e-a792-42b4-a2e1-b434b3670f54,EMPc3f4c170,Long Ltd,ROI,50000.0,2025-05-25T13:51:17.213295,2025-11-30T13:51:17.213295,Email thread with Anthony Randall on 2024-08-21
OPP86def5a0-474f-41f7-8d26-c0c52ba08a24,EMPc3f4c170,Grant Ltd,Closed Won,110469.54,2025-02-01T13:51:17.213295,2025-11-30T13:51:17.213295,Email thread with Wayne Smith on 2024-05-11
OPPd8cd5da3-73cc-4524-9675-f2fcc0ca3f4d,EMPc3f4c170,Sanchez Ltd,Case Evaluation,50000.0,2025-03-12T13:51:17.214293,2025-11-30T13:51:17.214293,Email thread with Deborah Jackson on 2024-06-23
OPP01364fc5-1a6e-497f-83cd-7bab667b94c9,EMPc3f4c170,Rivera and Sons,Case Evaluation,120941.78,2025-02-01T13:51:17.214293,2025-11-30T13:51:17.214293,Email thread with Brian Osborne on 2024-02-05
OPP49e78dcc-9dd3-49c3-8b75-471e1a340ed5,EMPc3f4c170,"Brown, Mccall and Rodriguez",Closed Lost,135354.4,2025-05-03T13:51:17.214293,2025-11-30T13:51:17.214293,Email thread with Christopher Marshall on 2024-11-18
OPPb462d9d2-709a-4992-aaf5-7422b1bc4d5e,EMPc3f4c170,"Johnson, Gray and Yu",Closed Won,138240.53,2025-05-05T13:51:17.215290,2025-11-30T13:51:17.215290,Email thread with Bradley Mack on 2024-03-22
OPP3ac2496e-6243-4476-b929-8df641a97327,EMPc3f4c170,Brewer-Wagner,Proposal,150000.0,2025-05-20T13:51:17.215290,2025-11-30T13:51:17.215290,Email thread with Chelsea Bowman on 2024-01-04
OPPf26bf956-f871-4f48-abc1-e83d96c9b54e,EMPc3f4c170,"Hall, Reed and Edwards",Closed Won,81772.77,2025-01-08T13:51:17.215290,2025-11-30T13:51:17.215290,Email thread with Pamela Mcdonald on 2024-10-16
OPP5836d762-40d6-4ebe-a75c-b80cb7c3aa1b,EMPc3f4c170,Rowe-Lopez,Closed Won,82336.92,2024-12-31T13:51:17.216288,2025-11-30T13:51:17.216288,Email thread with Joel Day on 2024-05-24
OPPf106dbce-c9d3-4c47-9f34-cc1079699973,EMP29a2c997,"Mitchell, Wright and Hendrix",Case Evaluation,73580.48,2025-04-26T13:51:17.216288,2025-11-30T13:51:17.216288,Email thread with Joseph Santana on 2024-03-17
