invoice_id,customer_id,issue_date,due_date,amount,currency,status,outstanding_amount
INV3606c109,CUST5e413e4c,2024-09-02,2024-10-02,8197.48,USD,Unpaid,0.0
INV0e4be32e,CUST5e413e4c,2024-09-18,2024-10-18,31888.98,USD,Paid,0.0
INVb5315d2e,CUST681bcf06,2024-02-29,2024-03-30,48554.97,GBP,Paid,0.0
INVfd686765,CUST681bcf06,2024-07-07,2024-08-06,6454.19,GBP,Paid,0.0
INVdb6c71ed,CUST7ec15dbc,2024-07-14,2024-08-13,25665.54,USD,Paid,0.0
INV2f284e2d,CUST57161006,2024-07-07,2024-08-06,7190.74,USD,Unpaid,0.0
INVe4453ba5,CUST57161006,2023-12-14,2024-01-13,16802.45,USD,Unpaid,0.0
INVe691a6b3,CUST57161006,2024-09-28,2024-10-28,6178.12,USD,Paid,0.0
INVb0540bf2,CUSTe4267b2d,2024-06-07,2024-07-07,23318.35,USD,Overdue,0.0
INV56ef34ad,CUSTe4267b2d,2024-09-29,2024-10-29,26223.63,USD,Paid,0.0
INV2ffc09ef,CUST59976b9b,2024-03-04,2024-04-03,47927.69,AUD,Paid,0.0
INVf36a14a7,CUST59976b9b,2024-02-17,2024-03-18,5919.66,AUD,Unpaid,129.85
INV8c78db95,CUST59976b9b,2024-03-18,2024-04-17,24695.25,EUR,Paid,0.0
INVafbe9658,CUST59976b9b,2024-01-31,2024-03-01,48777.47,GBP,Paid,0.0
INV794f4cea,CUST53ed6746,2024-11-01,2024-12-01,2729.35,GBP,Unpaid,28.67
INV0c90a9fc,CUST0ee8cfb0,2024-02-09,2024-03-10,2055.88,USD,Paid,0.0
INV01bfa90b,CUST0ee8cfb0,2024-05-23,2024-06-22,19543.9,USD,Unpaid,0.0
INV33cb3ce0,CUST0ee8cfb0,2024-02-27,2024-03-28,3745.53,USD,Paid,0.0
INV58b9745e,CUST0ee8cfb0,2023-12-16,2024-01-15,27769.85,USD,Unpaid,0.0
INVa3b85740,CUST0ee8cfb0,2023-12-30,2024-01-29,1580.03,USD,Unpaid,0.0
INV95cbef82,CUST3e719c54,2024-02-27,2024-03-28,7896.7,USD,Paid,0.0
INV079f369a,CUST3e719c54,2024-05-01,2024-05-31,41426.7,USD,Paid,0.0
INV9ab16543,CUST3e719c54,2024-05-02,2024-06-01,45916.47,USD,Paid,0.0
INV4854ff67,CUSTd06d48c6,2024-05-12,2024-06-11,10745.04,USD,Paid,0.0
INV99eaaa00,CUSTd06d48c6,2024-07-31,2024-08-30,30548.18,USD,Paid,0.0
INV15e29697,CUST492cc588,2024-09-16,2024-10-16,10526.94,USD,Paid,0.0
