opportunity_id,sales_rep_id,client_name,stage,amount,close_date,renewal_date,email_conversations
OPPa47060ef-4f6d-4a77-ba83-6948c95512b9,EMP0896c74d,Williams-Morris,Prospecting,132160.18,2024-10-04,2025-10-04,"**Subject:** Re: Exploring Partnership Opportunities

**From:** Mark Ferguson <mark.ferguson@williams-morris.com>  
**To:** Christopher Thompson <christopher.thompson@cloudscape-tech.com>  
**Date:** 2023-10-18  

Dear Christopher,

I hope this message finds you well. I've been reviewing the initial information you provided about CloudScape Technologies, and I'm interested in learning more about how your services can specifically benefit our organization.

Could we schedule a meeting to discuss this in more detail? We're particularly keen on understanding how your solutions can address some of our current challenges, especially in terms of scalability and cost efficiency.

Looking forward to your feedback.

Best regards,
Mark Ferguson  
Director of Operations, Williams-Morris"
OPP57554641-fca9-423c-ac80-3c6fa33745f7,EMP340411d3,Thomas Group,Closed Won,96689.52,2023-12-10,2024-12-09,"**Email Thread**

**From: Monica Bray <monica.bray@thomasgroup.com>**  
**To: Lisa Mclaughlin <lisa.mclaughlin@cloudscape.com>**  
**Date: 2023-10-18**  
**Subject: Excited to Move Forward**

Hi Lisa,

I hope this message finds you well. I'm thrilled to inform you that we have decided to go forward with CloudScape Technologies. We are ready to begin the implementation of your solutions and would like to discuss the next steps.

Could you share more details on the implementation timeline and the key resources we'll need from both sides to ensure a smooth transition?

Looking forward to working together.

Best regards,  
Monica Bray  
Thomas Group

---

**From: Lisa Mclaughlin <lisa.mclaughlin@cloudscape.com>**  
**To: Monica Bray <monica.bray@thomasgroup.com>**  
**Date: 2023-10-19**  
**Subject: Re: Excited to Move Forward**

Hi Monica,

Thank you so much for the great news! We are equally excited to start this new chapter with Thomas Group.

To ensure a seamless implementation, we have outlined some preliminary steps:

1. **Kick-off Meeting**: We suggest scheduling a meeting next week to align on project goals and introduce the teams responsible for different aspects.
2. **Timeline Overview**: Our typical implementation timeline is 6-8 weeks, but we’ll tailor this to meet your specific needs.
3. **Required Resources**:
   - From Thomas Group: Dedicated project managers and IT support for initial integration.
   - From CloudScape: Our technical team will provide ongoing support throughout the implementation.

Please let me know your availability for the kick-off meeting, and if you have any specific expectations or deadlines in mind.

Looking forward to a successful partnership!

Best regards,  
Lisa Mclaughlin  
CloudScape Technologies

---

**From: Monica Bray <monica.bray@thomasgroup.com>**  
**To: Lisa Mclaughlin <lisa.mclaughlin@cloudscape.com>**  
**Date: 2023-10-20**  
**Subject: Re: Excited to Move Forward**

Hi Lisa,

Thank you for the details. I have checked with our team, and we are available for a kick-off meeting on Wednesday, 2023-10-25 at 10 AM.

We are excited to meet the CloudScape team and discuss the project goals in more depth.

Best,  
Monica

---

**From: Lisa Mclaughlin <lisa.mclaughlin@cloudscape.com>**  
**To: Monica Bray <monica.bray@thomasgroup.com>**  
**Date: 2023-10-20**  
**Subject: Re: Excited to Move Forward**

Hi Monica,

Wednesday works perfectly for us. I’ll make sure our team is ready for the meeting and prepared to address any questions or concerns you might have.

Thank you again for choosing CloudScape Technologies. We are committed to providing exceptional service and look forward to a fruitful collaboration.

See you on the 25th!

Warm regards,  
Lisa Mclaughlin  
CloudScape Technologies"
OPPb7ca8600-c9f6-4291-a1d9-f00056fdff7c,EMPac44ca48,Middleton-Reeves,Closed Won,149916.8,2024-07-21,2025-07-21,"**Email from Christopher Wells to Joshua Greer**  
Date: 2023-11-05  
Subject: Exciting Collaboration Ahead

Hi Joshua,

I hope this message finds you well. I am pleased to inform you that Middleton-Reeves has decided to proceed with our partnership with CloudScape Technologies. The proposal you presented to us completely aligns with our business objectives, and we are eager to see the positive impact it can bring.

Could you please provide further details on the on-boarding process? We would like to arrange initial meetings and set up the project framework as soon as possible. I would appreciate it if you could share the project timeline and any immediate steps we need to undertake at this stage.

Looking forward to your response.

Best regards,
Christopher Wells  
Middleton-Reeves

---

**Response from Joshua Greer to Christopher Wells**  
Date: 2023-11-06  
Subject: Re: Exciting Collaboration Ahead

Hi Christopher,

Thank you for the great news! I'm thrilled to hear that you've decided to partner with CloudScape Technologies. We are equally excited to begin this journey with Middleton-Reeves.

Regarding the on-boarding process, I’ve outlined the initial steps below:

1. **Project Kickoff Meeting**: We’ll arrange an initial meeting to discuss the project framework, introduce key team members, and align on objectives and timelines. Could you please suggest your availability for this?

2. **Documentation and Compliance**: We will send over the necessary documentation for your review. Please let us know if there are any compliance standards we should consider.

3. **Technical Setup**: Our technical team will begin preparations for integrating our systems. We'll need to coordinate with your IT department.

Once we align on these aspects, we can set a comprehensive project timeline.

I look forward to our collaboration and am here to assist with any questions you might have.

Warm regards,
Joshua Greer  
Sales Representative  
CloudScape Technologies

---

**Email from Christopher Wells to Joshua Greer**  
Date: 2023-11-07  
Subject: Re: Exciting Collaboration Ahead

Hi Joshua,

Thank you for outlining the next steps.

We are available for a kickoff meeting on November 10th in the morning. Please let me know if this works for your team.

Regarding the documentation, please send it at your earliest convenience. Our compliance and legal departments are prepared for a review.

For the technical setup, I’ll connect you with our IT head to facilitate the process. His details are being forwarded to you shortly.

Looking forward to bringing this project to life.

Thanks,
Christopher

---

**Response from Joshua Greer to Christopher Wells**  
Date: 2023-11-08  
Subject: Re: Exciting Collaboration Ahead

Hi Christopher,

November 10th morning is perfect for the kickoff meeting. I'll send you an invitation shortly. In the meantime, I’ve attached the required documentation for your team’s review.

Thank you for forwarding your IT head's details. I’ll ensure our technical team reaches out to coordinate the setup.

Please feel free to reach out if you need any further information or assistance.

Excited to get started!

Best,
Joshua Greer  
Sales Representative  
CloudScape Technologies"
OPP71ef908d-9936-4761-a950-3c8382d61d40,EMP29a2c997,Lawrence LLC,Closed Won,60870.13,2024-09-20,2025-09-20,"**Subject: Next Steps for Our Partnership**

---

**Email 1: From Taylor Reed to Kelsey Fletcher**  
**Date: 2023-11-01**

Hi Kelsey,

I hope this message finds you well. I'm thrilled to inform you that Lawrence LLC has decided to move forward with CloudScape Technologies. We're ready to proceed with the solutions discussed during our last meeting.

Could you please provide more details about the implementation timeline and any other necessary steps on your side to officially get things underway? Also, let me know if there's any paperwork pending on our end.

Looking forward to strengthening this partnership.

Best regards,  
Taylor Reed
Lawrence LLC

---

**Email 2: From Kelsey Fletcher to Taylor Reed**  
**Date: 2023-11-02**

Hi Taylor,

Thank you for your email and for choosing CloudScape Technologies as your trusted partner. We're equally excited to collaborate with Lawrence LLC.

Regarding the implementation timeline, we are poised to initiate the onboarding process as early as next week. Our project manager will reach out to your team shortly to align on all details. As for paperwork, we have forwarded the contract to your legal team for final signatures. Please let me know once you have revised and signed the document.

Rest assured that we are committed to ensuring a smooth execution and will keep you updated every step of the way.

Thank you once again, and I look forward to our successful collaboration.

Best,  
Kelsey Fletcher  
CloudScape Technologies

---

**Email 3: From Taylor Reed to Kelsey Fletcher**  
**Date: 2023-11-03**

Hi Kelsey,

Thanks for your prompt response. I've confirmed with our legal team that they've received the contract and will provide the signed copies by early next week. I'll also alert our IT department to expect communication from your project manager.

On a related note, could you also provide an overview of the support services included, so we're in sync on what to expect post-implementation?

Best regards,  
Taylor Reed
Lawrence LLC

---

**Email 4: From Kelsey Fletcher to Taylor Reed**  
**Date: 2023-11-04**

Hi Taylor,

Thanks for the update. We appreciate the swift action from your legal team.

In terms of support services, here’s a brief overview: Lawrence LLC will have access to 24/7 customer support, regular system updates, and a dedicated account manager to assist with any queries post-implementation. Additionally, we offer quarterly reviews to ensure the solutions align with your business objectives, along with training sessions for your team if required.

If you have any specific support needs or require further details, please feel free to reach out at any time.

Looking forward to getting started next week!

Best,  
Kelsey Fletcher  
CloudScape Technologies

---"
OPPbc26fe8a-9d1f-4127-bea5-8a2c7e21656d,EMP29a2c997,"Howard, Kennedy and Stone",Closed Won,82128.34,2023-12-20,2024-12-19,"### Email Thread

**From: Tyler Thompson <tyler.thompson@howardkennedyandstone.com>**  
**To: Kelsey Fletcher <kelsey.fletcher@cloudscapetech.com>**  
**Date: 2023-11-05**  
**Subject: Next Steps for Our Project with CloudScape**

Hi Kelsey,

I hope this email finds you well. I'm thrilled that we've reached the 'Closed Won' stage with our project. As we move forward, I would like to understand more about the implementation process with CloudScape Technologies. Could you please provide a detailed timeline and any resources we should prepare on our end?

Thank you for your support and looking forward to working closely with you.

Best regards,

Tyler Thompson  
Howard, Kennedy, and Stone

---

**From: Kelsey Fletcher <kelsey.fletcher@cloudscapetech.com>**  
**To: Tyler Thompson <tyler.thompson@howardkennedyandstone.com>**  
**Date: 2023-11-06**  
**Subject: Re: Next Steps for Our Project with CloudScape**

Hi Tyler,

Thank you for reaching out and congratulations on finalizing our agreement! It's exciting to move forward to the next phase. For the implementation process, I've attached a detailed timeline that outlines each stage from initial setup to full deployment. Typically, the process takes 6 to 8 weeks.

In terms of resources from your team, it would be helpful to have access to your IT staff for integration purposes, and any key stakeholders who will be using our systems for initial training sessions. This will ensure everything runs smoothly and on schedule.

Please let me know if you need any further information, or if there's a good time this week to set up a meeting to go over the details in more depth.

Looking forward to our collaboration.

Best regards,

Kelsey Fletcher  
Sales Representative  
CloudScape Technologies

---

**From: Tyler Thompson <tyler.thompson@howardkennedyandstone.com>**  
**To: Kelsey Fletcher <kelsey.fletcher@cloudscapetech.com>**  
**Date: 2023-11-07**  
**Subject: Re: Next Steps for Our Project with CloudScape**

Hi Kelsey,

Thank you for the detailed timeline. I've reviewed it, and everything seems clear. We’ll ensure our IT team and key stakeholders are ready for the training sessions. 

Could we schedule a meeting on Thursday at 3 PM to discuss any additional questions our teams might have?

Thanks again for your help.

Best,

Tyler

---

**From: Kelsey Fletcher <kelsey.fletcher@cloudscapetech.com>**  
**To: Tyler Thompson <tyler.thompson@howardkennedyandstone.com>**  
**Date: 2023-11-07**  
**Subject: Re: Next Steps for Our Project with CloudScape**

Hi Tyler,

Thursday at 3 PM works perfectly for us. I'll send out a calendar invitation shortly.

Please feel free to compile any specific points or queries your team might want to address during our meeting.

Looking forward to connecting.

Best regards,

Kelsey Fletcher  
Sales Representative  
CloudScape Technologies"
OPPbcae3718-7281-41e8-a184-5828b7421a1b,EMP812ea9a2,"Nguyen, James and Williams",Qualification,82171.63,2024-07-01,2025-07-01,"Subject: Cloud Solutions for Nguyen, James and Williams

---
Date: 2023-10-01

From: Michael Adams (madams@njwlaw.com)  
To: Shannon Rhodes (shannon.rhodes@cloudscapetech.com)  

Hi Shannon,

I hope this email finds you well. We have been evaluating several cloud service providers for Nguyen, James and Williams, and are keen to explore more about what CloudScape Technologies can offer us. Right now, we're particularly focused on scalability and data security, as our firm handles a significant volume of sensitive client data and we are expanding rapidly.

Also, could you provide some case studies of similar legal firms that have successfully transitioned to your services?

Looking forward to your response.

Best,
Michael Adams
---

---

Date: 2023-10-02

From: Shannon Rhodes (shannon.rhodes@cloudscapetech.com)  
To: Michael Adams (madams@njwlaw.com)  

Hi Michael,

Thank you for reaching out and sharing your current focus points. I’m glad to hear that Nguyen, James and Williams are considering CloudScape Technologies for your cloud needs.

Regarding scalability and data security, CloudScape Technologies prides itself on providing solutions that are both robust and adaptable. Our service models are designed to scale seamlessly with your firm, ensuring performance remains steady regardless of load changes. We also incorporate advanced data encryption practices and compliance frameworks that protect sensitive information in line with the latest regulatory requirements.

I have attached a few case studies that showcase successful transitions we have facilitated for similar legal firms. Please let me know if there’s a particular area you’d like more detail on.

Would it be possible to schedule a call or meeting later this week to discuss your requirements further and tailor a solution specifically for your firm?

Looking forward to your thoughts.

Best regards,

Shannon Rhodes
Sales Representative  
CloudScape Technologies
---

---

Date: 2023-10-03

From: Michael Adams (madams@njwlaw.com)  
To: Shannon Rhodes (shannon.rhodes@cloudscapetech.com)  

Hi Shannon,

Thank you for the detailed information and the case studies. They definitely give us a clearer picture.

I agree, a call would be beneficial. How about Thursday at 2 PM your time? We can discuss our current IT setup, specific needs, and future goals.

Looking forward to our conversation.

Best,
Michael
---

---

Date: 2023-10-04

From: Shannon Rhodes (shannon.rhodes@cloudscapetech.com)  
To: Michael Adams (madams@njwlaw.com)  

Hi Michael,

Thursday at 2 PM works perfectly. I have scheduled the meeting and will share the invite shortly.

In preparation for our call, it would be helpful if you could outline any specific applications or services that are critical for your firm’s operations. This will ensure we can address those directly during our conversation.

Thank you again for considering CloudScape Technologies. I’m excited to explore how we can support Nguyen, James and Williams in achieving your technological goals.

Best regards,

Shannon Rhodes
Sales Representative  
CloudScape Technologies
---"
OPP76cf3802-c4b0-4f78-aab0-006b53b13d87,EMP099ec979,"Clark, Anderson and Rodriguez",Closed Lost,120342.56,2024-04-16,2025-04-16,"**Email Thread**

---

**From:** Jeffrey Ross <jeffrey.ross@carlawfirm.com>  
**To:** Joshua Duffy <joshua.duffy@cloudscape.com>  
**Date:** 2023-11-01  
**Subject:** Revisiting Our Previous Proposal

Hi Joshua,

I hope this message finds you well. After reviewing our recent projects and feedback from our internal team, we've decided to revisit the proposal we previously set aside. There might be an opportunity to integrate CloudScape's solutions as we gear up for some system upgrades next quarter.

Could you provide more insights into any recent updates or improvements in your offerings? Additionally, what flexible terms might you offer that could make this a more attractive option for us this time around?

Looking forward to your insights.

Best regards,  
Jeffrey Ross  
Clark, Anderson and Rodriguez

---

**From:** Joshua Duffy <joshua.duffy@cloudscape.com>  
**To:** Jeffrey Ross <jeffrey.ross@carlawfirm.com>  
**Date:** 2023-11-02  
**Subject:** Re: Revisiting Our Previous Proposal

Hi Jeffrey,

Thank you for reaching out and considering CloudScape once again for your system upgrades. I appreciate the opportunity to re-engage on this front.

We've made several enhancements to our solutions in the last few months, particularly focusing on cloud security and scalability, which should align well with your objectives. I'd be glad to arrange a detailed briefing for your team to discuss these developments further.

Regarding terms, we're committed to flexibility to meet your needs. We can discuss potential custom pricing and extended support options tailored to ensure that our solutions deliver maximum value for your firm.

Would you be available for a call next week to explore this further? Please let me know your available slots.

Warm regards,

Joshua Duffy  
CloudScape Technologies

---

**From:** Jeffrey Ross <jeffrey.ross@carlawfirm.com>  
**To:** Joshua Duffy <joshua.duffy@cloudscape.com>  
**Date:** 2023-11-03  
**Subject:** Re: Revisiting Our Previous Proposal

Hi Joshua,

Thank you for your prompt response. The updates sound promising and definitely in line with what we're looking for. I'd like to gather our project leads for a call to dive deeper into the specifics.

How about Tuesday, the 7th of November, at 2 PM? Let me know if this works for you or suggest another time.

Best,  
Jeffrey

---

**From:** Joshua Duffy <joshua.duffy@cloudscape.com>  
**To:** Jeffrey Ross <jeffrey.ross@carlawfirm.com>  
**Date:** 2023-11-04  
**Subject:** Re: Revisiting Our Previous Proposal

Hi Jeffrey,

Tuesday at 2 PM works perfectly. I will send a calendar invite shortly. During the call, I'll walk your team through our recent advancements and discuss how we can tailor a solution that precisely fits your requirements.

Looking forward to our discussion and hopeful for a renewed partnership.

Best regards,

Joshua Duffy  
CloudScape Technologies

---"
OPPcae56cb5-6288-4d69-9a81-bfa75adc0f12,EMP92863be8,May Ltd,Qualification,94869.07,2024-08-20,2025-08-20,"# Email Thread between Jeffery Barber (Client) and Jeffery Wilson (Sales Representative)

### Email 1: Client's Initial Inquiry
**From:** Jeffery Barber <jeffery.barber@mayltd.com>  
**To:** Jeffery Wilson <jeffery.wilson@cloudscape.com>  
**Date:** 2023-10-05  
**Subject:** Potential Collaboration Inquiry  

Hi Jeffery,

I hope this message finds you well. We are currently exploring cloud solutions to enhance our operational efficiency and scalability at May Ltd. I've heard promising things about CloudScape Technologies and am interested in understanding how you can help us achieve our business goals. Could we set up a meeting to discuss our requirements and explore the possibilities of working together?

Looking forward to your prompt reply.

Best regards,

Jeffery Barber  
Sales Manager  
May Ltd.

---

### Email 2: Sales Representative's Response
**From:** Jeffery Wilson <jeffery.wilson@cloudscape.com>  
**To:** Jeffery Barber <jeffery.barber@mayltd.com>  
**Date:** 2023-10-06  
**Subject:** Re: Potential Collaboration Inquiry  

Hi Jeffery,

Thank you for reaching out and for considering CloudScape Technologies as your potential partner for cloud solutions. I am eager to learn more about your current challenges and objectives to see how we might assist.

Can we schedule a discussion at your earliest convenience? This would allow us to talk through your specific needs and share some success stories from clients with similar requirements. Could you let me know your available times for a brief call or virtual meeting?

Looking forward to your reply.

Warm regards,

Jeffery Wilson  
Sales Representative  
CloudScape Technologies

---

### Email 3: Client's Reply
**From:** Jeffery Barber <jeffery.barber@mayltd.com>  
**To:** Jeffery Wilson <jeffery.wilson@cloudscape.com>  
**Date:** 2023-10-07  
**Subject:** Re: Potential Collaboration Inquiry  

Hello Jeffery,

Thanks for your swift response. We are currently focusing on improving our data management and looking to integrate more seamless communication tools. I am available for a call on Thursday at 2 PM. Let me know if this works for you or suggest another time.

Excited to discuss this further.

Regards,

Jeffery Barber

---

### Email 4: Sales Representative's Confirmation
**From:** Jeffery Wilson <jeffery.wilson@cloudscape.com>  
**To:** Jeffery Barber <jeffery.barber@mayltd.com>  
**Date:** 2023-10-08  
**Subject:** Re: Potential Collaboration Inquiry  

Hi Jeffery,

Thursday at 2 PM works perfectly for me. I will send a calendar invite with the meeting link shortly. During our call, I will present how CloudScape's solutions can streamline your data management and enhance communication infrastructure.

Please feel free to bring any additional colleagues who should be involved in this discussion.

Talk to you soon.

Best,  
Jeffery Wilson

---

This email thread aims to advance the sales opportunity from the ""Qualification"" stage by discussing the client's needs and arranging an initial meeting to understand their business requirements better."
OPP72e274c1-cbd1-4c39-88a3-7825623e7233,EMP23883c1d,Jackson and Sons,Qualification,127209.43,2024-02-01,2025-01-31,"**Email Thread**

---

**From:** Joseph Fuentes &lt;joseph.fuentes@jacksonandsons.com&gt;  
**To:** Katrina Costa &lt;katrina.costa@cloudscape-tech.com&gt;  
**Date:** 2023-10-10  
**Subject:** Re: Initial Inquiry and Qualification Discussion

Hi Katrina,

I hope this message finds you well. I wanted to touch base regarding our recent inquiries into CloudScape Technologies' solutions. We're currently evaluating various options to enhance our digital infrastructure and are particularly interested in the flexibility and scalability that your cloud solutions seem to offer.

Could you provide more information on how CloudScape can tailor its services to fit our core requirements at Jackson and Sons? Additionally, any insights into your support and integration processes would be greatly appreciated.

Looking forward to your reply.

Best regards,  
Joseph Fuentes  
Jackson and Sons

---

**From:** Katrina Costa &lt;katrina.costa@cloudscape-tech.com&gt;  
**To:** Joseph Fuentes &lt;joseph.fuentes@jacksonandsons.com&gt;  
**Date:** 2023-10-11  
**Subject:** Re: Initial Inquiry and Qualification Discussion

Dear Joseph,

Thank you for reaching out and expressing interest in CloudScape Technologies. I am glad to hear that our flexible cloud solutions have caught your attention.

To ensure we meet your specific needs at Jackson and Sons, we focus on delivering customized cloud services that are both scalable and adaptable. Our team is dedicated to working closely with your IT department to fully understand your current infrastructure and future goals. This includes a comprehensive evaluation to identify key areas where our services can optimize your operations.

Regarding support and integration, CloudScape offers a thorough integration process with dedicated support teams available round-the-clock to assist with deployment. We ensure seamless integration with minimal disruption, supported by our experienced technical team who are on hand to resolve any issues that might arise during the transition phase.

I would be keen to discuss this in more detail and explore how we can best serve your needs. Please let me know a convenient time for a follow-up call or meeting.

Looking forward to our next conversation.

Warm regards,  
Katrina Costa  
CloudScape Technologies

---

**From:** Joseph Fuentes &lt;joseph.fuentes@jacksonandsons.com&gt;  
**To:** Katrina Costa &lt;katrina.costa@cloudscape-tech.com&gt;  
**Date:** 2023-10-12  
**Subject:** Re: Initial Inquiry and Qualification Discussion

Hi Katrina,

Thank you for the detailed information. A follow-up call sounds excellent. I'm available this Friday afternoon. Does a 2 PM slot work for you?

Looking forward to the discussion.

Best,  
Joseph

---

**From:** Katrina Costa &lt;katrina.costa@cloudscape-tech.com&gt;  
**To:** Joseph Fuentes &lt;joseph.fuentes@jacksonandsons.com&gt;  
**Date:** 2023-10-12  
**Subject:** Re: Initial Inquiry and Qualification Discussion

Dear Joseph,

Thank you for coordinating a time for us to discuss your needs in greater detail. Friday at 2 PM works perfectly for me. I will send you a calendar invite shortly to confirm our meeting.

Please feel free to prepare any specific questions or topics you would like us to focus on during our call. I look forward to a productive discussion and the opportunity to assist Jackson and Sons in achieving its digital transformation objectives.

See you on Friday!

Best regards,  
Katrina Costa  
CloudScape Technologies

---

**From:** Joseph Fuentes &lt;joseph.fuentes@jacksonandsons.com&gt;  
**To:** Katrina Costa &lt;katrina.costa@cloudscape-tech.com&gt;  
**Date:** 2023-10-13  
**Subject:** Re: Initial Inquiry and Qualification Discussion

Hi Katrina,

I've received your calendar invite and everything looks good. Thank you for setting this up.

Talk to you soon.

Cheers,  
Joseph"
OPP3d29ce6f-eb48-4cdd-b231-7bda245469eb,EMP23883c1d,Yoder-Hanson,Negotiation,126840.74,2024-03-20,2025-03-20,"---

**Email Thread**

---

**2023-10-15**

**From:** Frances Wilson <frances.wilson@yoderhanson.com>  
**To:** Katrina Costa <katrina.costa@cloudscape.com>  
**Subject:** Progress on Our Negotiation

Hi Katrina,

I hope this email finds you well. After our last discussion, I wanted to revisit our negotiation terms for the cloud integration package we're considering. We’re keen to ensure that the solution caters to our security and compliance requirements, especially concerning data storage.

Additionally, we're interested in discussing the pricing structure, including potential discounts on larger volumes. Could you please share a detailed proposal addressing these points?

Looking forward to your response.

Best regards,  
Frances Wilson  
Yoder-Hanson

---

**2023-10-16**

**From:** Katrina Costa <katrina.costa@cloudscape.com>  
**To:** Frances Wilson <frances.wilson@yoderhanson.com>  
**Subject:** Re: Progress on Our Negotiation

Hi Frances,

Thank you for reaching out and for outlining your key points. I’m glad to hear about your continued interest in our integration package.

Regarding the security and compliance requirements, CloudScape Technologies is ISO 27001 certified, and our solutions are tailored to meet high security standards, ensuring both data protection and regulatory adherence. I will include these specs in the detailed proposal.

As for the pricing structure, we do offer tiered discounts for larger volumes, and modifications can be aligned with your business needs. I will also include this in the proposal.

I will send the detailed proposal over by the end of this week.

Please let me know if there are any more specific areas you would like us to address.

Warm regards,  
Katrina Costa  
CloudScape Technologies

---

**2023-10-18**

**From:** Frances Wilson <frances.wilson@yoderhanson.com>  
**To:** Katrina Costa <katrina.costa@cloudscape.com>  
**Subject:** Re: Progress on Our Negotiation

Hi Katrina,

Thank you for your prompt response. I'm looking forward to reviewing the proposal. If you could also outline any support and training provisions available post-integration, it would be greatly appreciated.

Best,  
Frances Wilson

---

**2023-10-19**

**From:** Katrina Costa <katrina.costa@cloudscape.com>  
**To:** Frances Wilson <frances.wilson@yoderhanson.com>  
**Subject:** Re: Progress on Our Negotiation

Hi Frances,

I’ve noted your request and will ensure that the proposal includes information on our comprehensive support and training services. Our post-integration support is designed to optimize your use of the service efficiently.

I will ensure you receive the full proposal by tomorrow.

Thank you once again for your cooperation and insights.

Best regards,  
Katrina Costa  
CloudScape Technologies

---"
