week_of,revenue,expenses,net_income
2024-12-02,111918.5,111911.43,7.070000000006985
2024-12-09,176933.08,106449.95,70483.12999999999
2024-12-16,128926.17,137201.17,-8275.000000000015
2024-12-23,172242.24,84583.52,87658.71999999999
2024-12-30,158917.09,127168.77,31748.319999999992
2025-01-06,128777.96,146021.11,-17243.14999999998
2025-01-13,165156.65,109076.28,56080.369999999995
2025-01-20,176648.98,99497.19,77151.79000000001
2025-01-27,175298.85,58170.24,117128.61000000002
2025-02-03,180134.75,131602.87,48531.880000000005
2025-02-10,143676.82,140871.35,2805.470000000001
2025-02-17,129172.9,143759.25,-14586.350000000006
2025-02-24,173188.78,99419.44,73769.34
