transaction_id,invoice_id,payment_date,amount,currency
TRXE4FFBB20,INV215A8A3A,2024-05-16,49746.49,AUD
TRXFC60844C,INV078FF4F7,2024-11-05,5172.43,GBP
TRX60B95B16,INVD66B5374,2024-04-02,25024.48,JPY
TRXDDBA0143,INV0DC782BD,2024-06-22,17364.21,AUD
TRX962AA7EB,INV85AFF8DB,2024-05-28,9056.01,GBP
TRX6A71BAE0,INV1D89B04D,2024-07-13,28826.77,JPY
TRX02F0581A,INV03754EA9,2024-12-22,11168.28,EUR
TRX77AF4A66,INVC0D5A821,2024-04-03,36930.86,USD
TRX1EEA58A6,INV96F3866F,2024-01-04,3215.42,USD
TRX06111520,INVE4CC72E5,2024-01-20,42725.18,JPY
TRXA93C7A4A,INV0BB604F1,2024-01-17,26348.05,EUR
TRXAC99FE9F,INVEAE58648,2024-01-09,37628.2,GBP
TRXC1BF31FE,INV6D3FB865,2024-03-05,13011.07,JPY
TRX2BE9EEFE,INV8746794B,2024-01-23,30334.82,EUR
TRXCD102F4F,INV4E549B0D,2024-11-12,32688.33,USD
TRX39F8C42E,INV4CF11510,2024-08-13,37946.76,USD
TRX69954EB9,INV87EA1242,2024-06-03,23419.88,USD
TRX8FA59065,INVB584C4DB,2024-10-25,39262.82,USD
TRX112B6D84,INV4FF6DBD3,2024-08-27,15185.94,USD
TRXC08BBECC,INV7C5CCD87,2024-01-07,13326.34,USD
TRX27C148E4,INVEFBD166E,2024-07-25,6714.58,USD
TRXF086013B,INV4CFF132B,2024-02-27,3444.28,USD
TRX2D1A30D5,INVE851C34C,2024-10-11,45876.01,USD
TRX75D7FC11,INV0D982F1D,2024-11-29,37590.89,USD
TRX0D66C1A1,INVB3EA0799,2024-08-16,8411.99,USD
TRXBB5A39CA,INVD689DB33,2024-11-18,14196.02,AUD
TRXC759B8C9,INV195A5789,2024-09-16,25454.3,USD
TRXA8310DCC,INVD58F80F8,2024-04-17,23481.31,USD
TRX7D13A02F,INV2F6DF020,2024-02-22,17379.3,USD
TRXEF7184FE,INV21FB6A22,2024-12-14,13156.07,USD
TRX7A6597E2,INV79D8FD1B,2024-04-25,1097.8,USD
TRX3D91896C,INV0C427D74,2024-05-28,24218.87,USD
TRX0E84F46C,INV46ECCB5F,2024-05-03,26031.55,AUD
TRXB1C5ABAC,INV1FF5C74F,2024-02-04,7240.16,JPY
TRX0703EDFB,INVAEB05FF9,2024-05-30,45122.74,GBP
TRX1C6A7423,INVE42CAC61,2024-01-15,27267.22,AUD
TRX170F61D0,INVD66C6D48,2024-09-14,38629.48,EUR
TRX01FB9088,INV0FD2E392,2024-01-29,17491.15,USD
TRX7FDE9BEF,INV6DE2FB95,2024-04-25,8875.37,USD
TRX66E08A18,INV07568D82,2024-09-28,25936.09,USD
TRX42E00FEC,INVD8835468,2024-01-11,44583.63,USD
TRX807AEB12,INV661688EA,2024-11-09,44621.27,USD
TRX8B9C9F5D,INVE7F7423E,2024-09-14,41305.28,USD
TRX57FE9274,INVC6A34406,2024-02-03,16333.43,GBP
TRX8D0C8524,INV94B7383B,2024-10-19,19594.69,JPY
TRX93EEAE1D,INVF32FBF7E,2024-12-01,22207.55,USD
TRX85559B95,INVD8C9BC0F,2024-11-29,38915.13,JPY
TRX832084BC,INV8C815397,2024-11-22,22167.4,USD
TRX510D64F0,INV6DB53B12,2024-05-14,18580.6,USD
TRXF377E935,INVC12BFC29,2024-06-22,34656.98,USD
TRXB212196D,INVC9AF7531,2024-09-06,15835.09,USD
TRXB3DA59BC,INV3DBEA072,2024-07-22,27194.91,USD
TRX2D645B78,INV8D59DC13,2023-12-07,4539.1,USD
TRX4E982B49,INV741A256F,2024-08-26,8899.7,USD
TRX299E40CD,INV64BACCC2,2024-10-26,25555.89,USD
TRX5C20DA5D,INV4F946FE0,2024-05-23,2859.82,USD
TRX1781D0C6,INVF4683F15,2024-08-05,32679.84,USD
TRX870A1423,INVCFD26EDD,2024-01-18,1021.61,USD
TRX313E7CA3,INV86D655F2,2024-04-16,16995.86,USD
TRX7D0C4591,INVA5986760,2024-04-21,44028.29,USD
TRX80C726FE,INV77A0FD93,2024-06-27,5280.68,USD
TRXF1E7F204,INV5544AB2D,2024-07-12,27837.4,USD
TRX990F7FF0,INV34DFA30A,2024-05-04,33741.1,GBP
TRXE84C3F61,INV0488F7F4,2024-04-21,7405.14,JPY
TRXBFF001B5,INV67D99D4A,2024-01-27,13867.25,USD
TRXB8CF6DA8,INVC5F20462,2024-06-15,35510.75,USD
TRX65BA0FC8,INV91937BFE,2023-12-27,2290.66,USD
TRXAF26A4ED,INV57B2E37F,2024-03-06,20751.79,USD
TRXF05BBEEC,INV97ABA6DE,2024-11-05,2810.21,USD
TRX2A7BB780,INVBA0F5E6E,2023-12-15,26140.61,USD
TRX55E346E4,INV939ECACB,2024-02-09,19893.69,USD
TRX04BEFBBA,INV8735E0F1,2024-06-07,3688.93,USD
TRXC28D009D,INV9D1482AA,2024-02-09,4790.4,USD
TRXF4C9F706,INV75C6312F,2024-02-05,44407.83,USD
TRX9B55C071,INV4A655F35,2024-11-01,25283.42,USD
TRX0AC3536D,INVB57520C2,2024-10-03,10249.56,USD
TRX2D071CA0,INVA7077B82,2024-01-29,6828.3,USD
TRX0A87C828,INV433F1EF8,2024-10-25,8674.73,USD
TRX42459258,INVC29AB5C2,2024-04-04,3370.02,USD
TRX8A5DB32B,INV9C9F03B1,2024-06-25,25151.13,USD
TRX34147DAF,INVDE8BED6B,2024-04-06,14386.96,USD
TRX008187AE,INV897AAF66,2024-10-02,34803.39,USD
TRXE43787F9,INV1009041A,2024-02-11,9542.94,USD
TRXE408CCCC,INV20F6074D,2024-06-06,23879.55,USD
TRXDBB66992,INV3D94327A,2024-03-25,20238.03,USD
TRXE1F6C66F,INV1AA22F8B,2024-10-03,2323.76,USD
TRX2558837C,INV1E1538A6,2024-05-10,44695.62,USD
TRXE74E887D,INV4E4318F8,2024-03-13,22906.17,USD
TRX206117F9,INV0E36FA0C,2024-05-14,17619.4,USD
TRXF968674F,INVF956E8D0,2024-04-07,42232.53,AUD
TRX63C1C938,INVEE78C877,2024-07-22,16141.84,GBP
TRX9ABF7404,INV9D72BE24,2024-10-09,12532.43,USD
TRX36B13570,INV8ED622BA,2024-06-30,48639.75,USD
TRXF07CA071,INV2CC3808B,2024-03-11,23855.03,USD
TRXB1CF8F15,INVCDD22048,2024-09-03,4630.41,USD
TRXC5D0D511,INVA7C7B7AF,2024-08-15,5991.46,EUR
TRXAE26BFC0,INVD291A6D2,2024-02-20,2849.76,AUD
TRXA714C92E,INV4723B5F4,2024-08-20,28935.89,GBP
TRXA3BDDEEA,INVBE6ED73C,2024-06-23,20651.18,EUR
TRX26778C87,INV9117A17F,2024-04-17,1374.82,JPY
TRX25F6E242,INV6E9CE274,2024-02-02,27330.58,JPY
TRX81F17BAC,INVBD3A3170,2024-07-19,4955.43,USD
TRXD2D22713,INV0675115E,2024-01-26,44050.55,USD
TRX64BEA573,INV5DF5449C,2024-03-21,1995.97,USD
TRX3A18624A,INV47963A61,2024-10-28,35466.47,USD
TRX52E54068,INV47B454E4,2024-12-12,9475.54,USD
TRX81A25C43,INV4C32C2A8,2024-03-21,9642.06,USD
TRXD85FCC1D,INVB79CE99E,2024-04-04,11772.46,USD
TRXE630150D,INVFEA406AA,2024-04-15,15218.62,USD
TRX33BB4BB2,INV2F1718A7,2024-02-06,47514.76,USD
TRXD781569B,INVC70CFC2A,2023-12-19,17284.02,USD
TRX2E000AB8,INV0BA36A7F,2024-03-04,1262.72,USD
TRX10F5694D,INV534545A7,2024-01-18,33476.24,USD
TRX902A920A,INVF16B052D,2024-07-29,48146.29,USD
TRXC3AE2A0C,INVC8D858F5,2024-09-15,35121.63,USD
TRX4E3DD68A,INV63463790,2024-04-27,47646.07,USD
TRX2E148D37,INVA1DD973E,2024-01-14,27189.8,USD
TRXC76EDC56,INVBD171043,2024-03-20,5204.51,USD
TRX6FD0F80D,INV5DBB1C05,2024-08-06,35311.03,USD
TRXDD36769C,INVB4FEDA15,2024-09-03,6048.59,USD
TRX4340E39E,INVDAC27AF5,2024-07-04,25204.46,USD
TRXD759F279,INVBD3387D2,2024-05-28,44181.0,USD
TRX5CE3262E,INVDA2BEEFB,2024-01-29,39802.23,USD
TRX214CB316,INV77141084,2024-03-29,6527.05,USD
TRXC57D09A2,INV763BF316,2024-09-15,16971.66,EUR
TRX724D1B8D,INV8FEF2DAD,2024-09-22,8739.25,JPY
TRXCC5970A3,INVB628E619,2024-03-11,26967.85,EUR
TRX31CF39EC,INVF90035D2,2024-08-11,40344.62,USD
TRX319FE186,INVC4FB7CB4,2024-04-25,31225.47,USD
TRXD4BCC6AA,INV68029653,2024-11-10,47837.79,GBP
TRX8C8C204F,INVC5D89BD6,2023-12-22,47824.74,AUD
TRX25E0EA75,INV5594544C,2024-12-15,21592.51,AUD
TRX6C1350EB,INV03301C39,2024-01-04,12727.47,USD
TRX4FBA0110,INV827B564A,2023-12-06,17917.88,USD
TRX7AE1F876,INV0DB753EA,2024-02-16,14501.35,USD
TRXDAEB28E9,INV8F243A87,2024-11-13,1931.3,USD
TRX6F3E467B,INVC4C70051,2024-02-02,3128.19,USD
TRX512D0FD9,INV6CD18AFA,2024-10-03,1670.73,USD
TRXDDB683CB,INVC49BD1DB,2024-01-04,38775.85,AUD
TRX7F31ED42,INVA4BDC3D4,2024-11-13,28156.69,JPY
TRX2C95130E,INV2BD4085A,2024-12-23,1742.98,GBP
TRX3BDB4167,INV24E23D94,2024-07-05,40947.79,JPY
TRX55A2ACCB,INV0B238845,2024-01-15,33362.93,EUR
TRXC5DDAF57,INV2C79865C,2024-04-27,35183.76,JPY
TRXC0A33B7B,INVC3783B74,2024-03-15,31023.71,USD
TRXF43B53AB,INV20EB5854,2024-06-12,29848.81,USD
TRXFF9D7093,INV1C8C999C,2024-09-18,31881.37,USD
TRXA75BC255,INV23C9DB9A,2024-10-03,26040.92,USD
TRXF86D9769,INV959A5160,2024-03-12,2730.53,USD
TRXAD26C6C2,INV6CE85B95,2024-12-21,24768.07,USD
TRX458CEA3B,INV04C2F36B,2024-09-19,28875.82,USD
TRXB1FFF14B,INVD08B0AA3,2024-07-20,35443.92,USD
TRXFF1FF113,INVA5740FBA,2024-12-07,40013.25,USD
TRXA38F3859,INVC202DA5F,2024-02-18,15969.52,USD
TRXAB253B83,INV65554BD5,2024-05-28,49950.26,EUR
TRX42487E7B,INV3D0B6763,2024-05-06,41474.08,JPY
TRX80F46A3D,INVEC9E2668,2024-03-14,30557.49,EUR
TRXEFF0216C,INV97218A1E,2024-01-19,6948.78,USD
TRX2EF70784,INVCCC9BE6A,2024-07-07,32037.39,USD
TRXA8F0D4AA,INV69D29AE2,2024-08-10,36030.96,USD
TRX3B000840,INV9C71A8B2,2024-07-30,3492.27,USD
TRX243FCFF5,INV6A7C2C02,2024-06-05,15012.65,USD
TRX48A8FE30,INV4F04D4C0,2024-09-17,12207.02,USD
TRX5457BE6D,INV05D534B4,2024-07-06,38271.86,USD
TRX14824931,INVD8BCB0E4,2024-12-13,29693.87,USD
TRXB299F35A,INV24E322EF,2024-02-20,9132.84,USD
TRX0A99565E,INVEE49F557,2024-07-24,42952.15,USD
TRXDB5EBC05,INV846CA080,2024-06-29,31761.71,USD
TRXA79A8BB3,INV3D31C100,2024-11-14,47382.61,USD
TRX31919A80,INV217BAC82,2024-11-22,33461.13,USD
TRX21F69BF7,INV8EAFD04C,2024-08-27,28773.67,USD
TRXE1145A59,INVD021D0C6,2024-01-13,23674.88,USD
TRX6BB81C27,INV8755E8CA,2024-10-28,9944.19,GBP
TRXE83C216B,INV31C0AD47,2024-02-13,23077.77,USD
TRX3FF63FD5,INV017C26B9,2024-03-31,3458.09,USD
TRX8B0FED6D,INV546E1817,2024-08-23,39776.59,USD
TRX25D7687F,INVE011A82F,2024-03-01,2595.63,USD
TRXBBED1B18,INV3AEAF96F,2024-05-10,48529.85,AUD
TRX693D5829,INV9F49C4FA,2024-10-18,46058.81,JPY
TRX31B0EC79,INV9040C3E6,2024-07-27,5085.12,USD
TRX3EA724CB,INVC3217C36,2024-05-15,49543.79,USD
TRX00F54487,INVAFBD4056,2024-05-19,34125.92,JPY
TRX68FF2A18,INV9BFA8077,2024-04-16,41482.26,JPY
TRX34B320AF,INV7CD4145F,2024-02-21,17224.95,USD
TRX9026BD9B,INV45D2E204,2024-05-18,36602.94,USD
TRX725FD4D5,INV4CE75F01,2024-05-10,14168.81,USD
TRX136BD06C,INV0174D8EF,2024-09-27,24414.02,USD
TRXB76C556C,INV98F5E39C,2024-12-02,18151.58,USD
